FECHA;BEBIDA;MARCA;PRECIO;LUGAR
21-ago;Vermu;;0,00 ?;Casa Malaga
21-ago;Cerveza;Estrella Galicia;0,00 ?;Casa Malaga
22-ago;Cerveza;Tropical ;0,00 ?;Casa Canarias
22-ago;Cerveza;1906;0,00 ?;Canarias
23-ago;Cerveza;Tropical ;0,00 ?;Casa Canarias
24-ago;Cerveza;Tropical ;0,00 ?;Roque Nublo
25-ago;Cerveza;Tropical ;0,00 ?;Casa Canarias
26-ago;Cerveza;Tropical ;0,00 ?;Casa Canarias
26-ago;Cerveza;Tropical ;0,00 ?;Casa Canarias
27-ago;Cerveza;Tropical ;0,00 ?;Casa Canarias
27-ago;Cerveza;Tropical ;0,00 ?;Canarias
28-ago;Cerveza;Estrella Galicia;0,00 ?;Canarias
29-ago;Aperol;;0,00 ?;Casa Canarias
30-ago;Roncola;;3,50 ?;Jumanji
30-ago;Roncola;;8,00 ?;Anden
30-ago;Cerveza;Alhambra;3,00 ?;Jumanji
31-ago;Cerveza;Victoria;0,00 ?;Malaga
02-sep;Cerveza;Mahou;3,50 ?;Madrid
02-sep;Cerveza;Mahou;3,50 ?;Madrid
02-sep;Cerveza;Mahou;3,50 ?;Madrid
02-sep;Cerveza;Mahou;3,50 ?;Madrid
05-sep;Aperol;;0,00 ?;Casa Blanca
05-sep;Cerveza;Alhambra;0,00 ?;Casa Blanca
05-sep;Cerveza;Alhambra;0,00 ?;Casa Blanca
05-sep;Cerveza;Alhambra;0,00 ?;Casa Blanca
06-sep;Vermu;;0,00 ?;Madrid
06-sep;Cerveza;Mahou;0,00 ?;Madrid
06-sep;Cerveza;Estrella Galicia;0,00 ?;Casa Madrid
09-sep;Cerveza;Mahou;0,00 ?;Madrid
12-sep;Cerveza;Steinburg;0,00 ?;Casa Beltran
12-sep;Cerveza;Steinburg;0,00 ?;Casa Beltran
12-sep;Cerveza;Steinburg;0,00 ?;Casa Beltran
12-sep;Gintonic;;0,00 ?;Casa Beltran
12-sep;Cerveza;Mahou;0,00 ?;Casa Madrid
12-sep;Cerveza;Mahou;0,00 ?;Casa Madrid
12-sep;Cerveza;Mahou;0,00 ?;Casa Madrid
12-sep;Roncola;;1,50 ?;Casa Madrid
12-sep;Roncola;;1,50 ?;Casa Madrid
16-sep;Cerveza;Mahou;0,00 ?;Casa Madrid
19-sep;Cerveza;;0,00 ?;Medjugorje
20-sep;Cerveza;;0,00 ?;Medjugorje
